2023-12-21 11:03:08.475 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Starting KafkaRegulatorApplicationTests using Java 17.0.9 with PID 94621 (started by yongheelee in /Users/yongheelee/workspace/kafka-regulator/regulator/kafka-regulator)
2023-12-21 11:03:08.477 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - No active profile set, falling back to 1 default profile: "default"
2023-12-21 11:03:09.259 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Started KafkaRegulatorApplicationTests in 1.003 seconds (process running for 1.641)
2023-12-21 11:03:09.264 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Periodical Task...
2023-12-21 11:03:09.438 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Not yet.
2023-12-21 14:33:17.951 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Starting KafkaRegulatorApplicationTests using Java 17.0.9 with PID 1813 (started by yongheelee in /Users/yongheelee/workspace/kafka-regulator/regulator/kafka-regulator)
2023-12-21 14:33:17.952 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - No active profile set, falling back to 1 default profile: "default"
2023-12-21 14:33:18.874 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Started KafkaRegulatorApplicationTests in 1.225 seconds (process running for 1.938)
2023-12-21 14:33:18.878 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Periodical Task...
2023-12-21 14:33:19.008 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Not yet.
2023-12-21 14:34:11.569 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Starting KafkaRegulatorApplicationTests using Java 17.0.9 with PID 1915 (started by yongheelee in /Users/yongheelee/workspace/kafka-regulator/regulator/kafka-regulator)
2023-12-21 14:34:11.570 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - No active profile set, falling back to 1 default profile: "default"
2023-12-21 14:34:12.495 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Started KafkaRegulatorApplicationTests in 1.187 seconds (process running for 1.872)
2023-12-21 14:34:12.500 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Periodical Task...
2023-12-21 14:34:12.543 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Not yet.
2023-12-21 14:37:15.196 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Starting KafkaRegulatorApplicationTests using Java 17.0.9 with PID 2084 (started by yongheelee in /Users/yongheelee/workspace/kafka-regulator/regulator/kafka-regulator)
2023-12-21 14:37:15.197 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - No active profile set, falling back to 1 default profile: "default"
2023-12-21 14:37:16.104 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Started KafkaRegulatorApplicationTests in 1.173 seconds (process running for 1.872)
2023-12-21 14:37:16.108 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Periodical Task...
2023-12-21 14:37:16.297 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Not yet.
2023-12-21 17:13:52.060 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Starting KafkaRegulatorApplicationTests using Java 17.0.9 with PID 6883 (started by yongheelee in /Users/yongheelee/workspace/kafka-regulator/regulator/kafka-regulator)
2023-12-21 17:13:52.062 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - No active profile set, falling back to 1 default profile: "default"
2023-12-21 17:13:52.959 INFO  [main] [n.f.k.KafkaRegulatorApplicationTests] - Started KafkaRegulatorApplicationTests in 1.177 seconds (process running for 1.901)
2023-12-21 17:13:52.964 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Periodical Task...
2023-12-21 17:13:53.147 INFO  [scheduling-1] [n.f.kafkaregulator.task.ScheduledTasks] - Not yet.
